7,Alternative Sewage System,
9,Fast Family Finder,
20,Biosphere Air and Gas Interpreter,
23,Storm Water Management,
30,Remote Health Checker,
31,Remote Stroke Checker,
32,Chronic Disease Management,
33,Ambulance Schedule System,
34,Care Manager,
37,Spillage Locator Tool,
38,Environmental Assessor Tool,
41,Cisco WebEx,
42,Homecare System,
11,World Terrain & Forestry,WTF
1,Operating Map of Gastropathy,OMG
12,Web Utility Table,WUT
8,Relational Observation System Limited,ROFL
21,Original Record of Landscape and Yard,ORLY
19,Waste Electronic & Wireless Equipmen,WEWE
27,Radiology Information System,RIS
24,Planetary Environmental Reference System,PERS
43,Electronic Medical Record (Viewer),EMR
40,Statistical Package for Social Sciences,SPSS
35,Lab Information System,LIS
16,Heart Ultrasound Heatmaps,HUH
14,Observation (version 1),OB1
4,Fixed Orthodontics Medical Operations,FOMO
36,Patient Admitter Tool,PAT
5,List of Transactions and Redactions,LOTR
22,Selected Analytical Methods,SAM
3,Total Mastering of Incisions,TMI
2,Limited Operating Liability,LOL
28,Download Urgent Medical Backups,DUMB
39,Statistical Analysis System,SAS
10,Sustainable Xeriscaping,SuX
17,Free MySQL Logger,FML
29,Pharmaceutical Information Program,PIP
13,Data & Utility Heuristics,DUH
18,"Heart, Abdomen, and Head Assessor",HAHA
26,Picture Archive and Communication System,PACS
6,Northern Ozone & Ocean Biome,NOOB
15,National Ozone Observatory Bot,NOOB
25,Snowmed Analyzer System Extended Edition,SASEE
54,eHealthChart,
55,Environmental Home Manager,
56,Clinical Data Repository,CDR
57,Netcare Occupation & Observation Base System,NOOBS
58,Find a Doctor,FAD
59,Drug Profile Viewer,DPV
60,Abdomen Tissue and Analysis Tool,AT-AT
61,Provider Coverage Viewer,PCV
62,Transcription Magic Interpreter,TMI
63,PharmaCare,
64,Provider Registry System,PRS
65,Electronic Lab System Interpolator,ELSI
66,myeHealth (For British Columbia),
67,eReferral,
68,"myeHealth (For Alberta, Saskatchewan, Manitoba)",
69,Cleaning Product Analyzer,
70,Greenhouse Gas Analyzer,
71,Pollution Alerts Datamart,PAD
73,Water and Land Data Observer,WALDO
74,Waster Observation System,
75,myeHealth (For Ontario),
76,myeHealth (For Quebec),
77,"myeHealth (For Yukon, Northwest Territories, Nunavut)",
78,Weather Analyzer Software System Unix Platform,WASSUP
79,Weather and Ozone Observation Knowledge Emulator Enterprise Edition,WOOKEEE
80,Microstrategy,
83,"myeHealth (For New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador)",
84,Clinical Admission Manager,
85,Ambulance Supply System,
86,TeleCare,
87,Surgical Information System,SIS
